date_time,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,cloud_coverage,weather_condition,forecasted_weather,year,month,day,hour,weekday,is_weekend,season,wind_dir_label,season_encoded,wind_dir_encoded
20-02-2012,0.280327869,0.020408163,0.274725275,228,0.490566038,0.053667263,0.91,rain,rain,2012,2,20,0,0,0,Winter,SW,3,6
21-02-2012,0.416393443,0.387755102,0.78021978,107,0.703918723,0.01431127,0.15,rain,rain,2012,2,21,0,1,0,Winter,E,3,0
22-02-2012,0.33442623,0.551020408,0.604395604,171,0.613933237,0.153846154,0.61,rain,rain,2012,2,22,0,2,0,Winter,S,3,4
23-02-2012,0.306557377,0.93877551,0.384615385,101,0.439767779,0,0.03,sun,sun,2012,2,23,0,3,0,Winter,E,3,0
24-02-2012,0.306557377,0.12244898,0.340659341,353,0.721335269,0.203935599,0.44,rain,rain,2012,2,24,0,4,0,Winter,N,3,1
25-02-2012,0.28852459,0.87755102,0.659340659,11,0.531204644,0,0.89,rain,rain,2012,2,25,0,5,1,Winter,N,3,1
26-02-2012,0.18852459,0.142857143,0.32967033,274,0.544267054,0.023255814,0.27,snow,snow,2012,2,26,0,6,1,Winter,W,3,7
27-02-2012,0.198360656,0.93877551,0.285714286,100,0.370101597,0,0.95,sun,sun,2012,2,27,0,0,0,Winter,E,3,0
28-02-2012,0.224590164,0.693877551,0.417582418,43,0.419448476,0.064400716,0.65,snow,fog,2012,2,28,0,1,0,Winter,NE,3,2
29-02-2012,0.224590164,0.265306122,0.725274725,304,0.391872279,0.01431127,0.3,snow,rain,2012,2,29,0,2,0,Winter,NW,3,3
01-03-2012,0.242622951,0.326530612,0.296703297,16,0.505079826,0,0.02,sun,fog,2012,3,1,0,3,0,Spring,N,1,1
02-03-2012,0.298360656,0.714285714,0.516483516,329,0.58490566,0.035778175,0.07,rain,rain,2012,3,2,0,4,0,Spring,NW,1,3
03-03-2012,0.43442623,1,0.725274725,56,0.545718433,0,0.23,sun,sun,2012,3,3,0,5,1,Spring,NE,1,2
04-03-2012,0.408196721,0.795918367,0.571428571,310,0.722786647,0,0.14,rain,rain,2012,3,4,0,6,1,Spring,NW,1,3
05-03-2012,0.270491803,0.06122449,0.637362637,302,0.362844702,0.123434705,0.42,rain,rain,2012,3,5,0,0,0,Spring,NW,1,3
06-03-2012,0.23442623,0.020408163,0.252747253,11,0.507982583,0.008944544,0.3,snow,snow,2012,3,6,0,1,0,Spring,N,1,1
07-03-2012,0.242622951,0.102040816,0.252747253,317,0.306240929,0,0.72,sun,sun,2012,3,7,0,2,0,Spring,NW,1,3
08-03-2012,0.390163934,0.836734694,0.230769231,79,0.358490566,0,0.44,sun,sun,2012,3,8,0,3,0,Spring,E,1,0
09-03-2012,0.360655738,0.06122449,0.263736264,215,0.674891147,0.064400716,0.65,rain,rain,2012,3,9,0,4,0,Spring,SW,1,6
10-03-2012,0.342622951,0.571428571,0.32967033,338,0.425253991,0.186046512,0.07,rain,rain,2012,3,10,0,5,1,Spring,N,1,1
11-03-2012,0.280327869,0.346938776,0.593406593,263,0.375907112,0.245080501,0.7,rain,rain,2012,3,11,0,6,1,Spring,W,1,7
12-03-2012,0.270491803,0.510204082,0.637362637,148,0.18287373,0.345259392,0.56,snow,snow,2012,3,12,0,0,0,Spring,SE,1,5
13-03-2012,0.226229508,0.87755102,0.538461538,80,0.374455733,0.168157424,0.79,snow,snow,2012,3,13,0,1,0,Spring,E,1,0
14-03-2012,0.270491803,0.673469388,0.472527473,214,0.461538462,0.153846154,0.98,rain,rain,2012,3,14,0,2,0,Spring,SW,1,6
15-03-2012,0.398360656,0.183673469,0.593406593,197,0.294629898,0.427549195,0.29,snow,snow,2012,3,15,0,3,0,Spring,S,1,4
16-03-2012,0.33442623,0.714285714,0.516483516,199,0.454281567,0.150268336,0.73,rain,rain,2012,3,16,0,4,0,Spring,S,1,4
17-03-2012,0.298360656,0.265306122,0.373626374,24,0.676342525,0.168157424,0.17,snow,snow,2012,3,17,0,5,1,Spring,NE,1,2
18-03-2012,0.196721311,0.612244898,0.252747253,88,0.388969521,0.064400716,0.68,rain,rain,2012,3,18,0,6,1,Spring,E,1,0
19-03-2012,0.224590164,0.959183673,0.285714286,267,0.355587808,0.035778175,0.92,rain,rain,2012,3,19,0,0,0,Spring,W,1,7
20-03-2012,0.28852459,0.285714286,0.659340659,142,0.32946299,0.064400716,0.38,rain,rain,2012,3,20,0,1,0,Spring,SE,1,5
21-03-2012,0.28852459,0.142857143,0.230769231,58,0.326560232,0.023255814,0.59,rain,rain,2012,3,21,0,2,0,Spring,NE,1,2
22-03-2012,0.316393443,0.265306122,0.186813187,25,0.570391872,0.073345259,0.97,rain,rain,2012,3,22,0,3,0,Spring,NE,1,2
23-03-2012,0.33442623,0.448979592,0.263736264,46,0.499274311,0,0.42,sun,sun,2012,3,23,0,4,0,Spring,NE,1,2
24-03-2012,0.424590164,0.795918367,0.527472527,287,0.631349782,0,0.44,sun,sun,2012,3,24,0,5,1,Spring,W,1,7
25-03-2012,0.378688525,0.408163265,0.252747253,265,0.785195936,0,0.22,rain,rain,2012,3,25,0,6,1,Spring,W,1,7
26-03-2012,0.43442623,0.306122449,0.428571429,15,0.226415094,0,0.68,drizzle,drizzle,2012,3,26,0,0,0,Spring,N,1,1
27-03-2012,0.470491803,0.897959184,0.373626374,198,0.547169811,0.085867621,0.93,rain,rain,2012,3,27,0,1,0,Spring,S,1,4
28-03-2012,0.416393443,0.346938776,0.604395604,281,0.32946299,0.023255814,0.05,rain,rain,2012,3,28,0,2,0,Spring,W,1,7
29-03-2012,0.38852459,0.93877551,0.43956044,85,0.606676343,0.490161002,0.55,rain,sun,2012,3,29,0,3,0,Spring,E,1,0
30-03-2012,0.360655738,0.469387755,0.472527473,249,0.452830189,0.100178891,0.03,rain,rain,2012,3,30,0,4,0,Spring,W,1,7
31-03-2012,0.33442623,0.510204082,0.32967033,269,0.496371553,0.236135957,0.92,rain,snow,2012,3,31,0,5,1,Spring,W,1,7
01-04-2012,0.342622951,0.489795918,0.703296703,334,0.306240929,0.026833631,0.22,rain,rain,2012,4,1,0,6,1,Spring,NW,1,3
02-04-2012,0.470491803,0.897959184,0.296703297,116,0.429608128,0,0.05,sun,sun,2012,4,2,0,0,0,Spring,SE,1,5
03-04-2012,0.370491803,0.816326531,0.296703297,6,0.505079826,0.026833631,0.31,rain,snow,2012,4,3,0,1,0,Spring,N,1,1
04-04-2012,0.344262295,0.571428571,0.186813187,136,0.689404935,0,0.17,sun,rain,2012,4,4,0,2,0,Spring,SE,1,5
05-04-2012,0.324590164,0.285714286,0.153846154,175,0.377358491,0.082289803,0.14,snow,snow,2012,4,5,0,3,0,Spring,S,1,4
06-04-2012,0.360655738,0.897959184,0.241758242,327,0.412191582,0.005366726,0.39,rain,fog,2012,4,6,0,4,0,Spring,NW,1,3
07-04-2012,0.416393443,0,0.428571429,314,0.628447025,0,0.95,sun,sun,2012,4,7,0,5,1,Spring,NW,1,3
08-04-2012,0.58852459,0.489795918,0.406593407,214,0.367198839,0,0.72,sun,drizzle,2012,4,8,0,6,1,Spring,SW,1,6
09-04-2012,0.552459016,0.12244898,0.186813187,81,0.657474601,0,1,sun,drizzle,2012,4,9,0,0,0,Spring,E,1,0
10-04-2012,0.562295082,0.163265306,0.307692308,222,0.490566038,0,0.73,rain,fog,2012,4,10,0,1,0,Spring,SW,1,6
11-04-2012,0.424590164,0.469387755,0.241758242,102,0.535558781,0.041144902,0.83,rain,rain,2012,4,11,0,2,0,Spring,E,1,0
12-04-2012,0.444262295,0,0.241758242,272,0.545718433,0.008944544,0.05,rain,rain,2012,4,12,0,3,0,Spring,W,1,7
13-04-2012,0.43442623,0.87755102,0.395604396,13,0.40203193,0,0.62,drizzle,drizzle,2012,4,13,0,4,0,Spring,N,1,1
14-04-2012,0.43442623,0.142857143,0.285714286,158,0.54862119,0,0.66,sun,sun,2012,4,14,0,5,1,Spring,S,1,4
15-04-2012,0.506557377,0.469387755,0.274725275,151,0.380261248,0,0.1,rain,rain,2012,4,15,0,6,1,Spring,SE,1,5
16-04-2012,0.452459016,0.204081633,0.593406593,107,0.419448476,0.14490161,0.42,rain,rain,2012,4,16,0,0,0,Spring,E,1,0
17-04-2012,0.360655738,0.326530612,0.175824176,187,0.57329463,0.032200358,0.16,rain,rain,2012,4,17,0,1,0,Spring,S,1,4
18-04-2012,0.460655738,0.142857143,0.384615385,300,0.534107402,0.032200358,0.95,rain,rain,2012,4,18,0,2,0,Spring,NW,1,3
19-04-2012,0.43442623,0.693877551,0.241758242,97,0.481857765,0.194991055,0.03,rain,rain,2012,4,19,0,3,0,Spring,E,1,0
20-04-2012,0.452459016,0.693877551,0.252747253,130,0.309143687,0.118067979,0.62,rain,rain,2012,4,20,0,4,0,Spring,SE,1,5
21-04-2012,0.524590164,0.653061224,0.208791209,292,0.345428157,0,0.67,sun,sun,2012,4,21,0,5,1,Spring,W,1,7
22-04-2012,0.642622951,0.081632653,0.241758242,170,0.532656023,0,0.8,rain,rain,2012,4,22,0,6,1,Spring,S,1,4
23-04-2012,0.626229508,0.836734694,0.340659341,182,0.59796807,0,0.4,sun,sun,2012,4,23,0,0,0,Spring,S,1,4
24-04-2012,0.516393443,0.775510204,0.263736264,38,0.330914369,0.076923077,0.82,rain,snow,2012,4,24,0,1,0,Spring,NE,1,2
25-04-2012,0.544262295,0.816326531,0.241758242,14,0.370101597,0.191413238,0.04,rain,rain,2012,4,25,0,2,0,Spring,N,1,1
26-04-2012,0.462295082,0.551020408,0.527472527,3,0.510885341,0.067978533,0.31,rain,rain,2012,4,26,0,3,0,Spring,N,1,1
27-04-2012,0.442622951,0.12244898,0.483516484,348,0.507982583,0.01431127,0.85,rain,rain,2012,4,27,0,4,0,Spring,N,1,1
28-04-2012,0.524590164,0.163265306,0.230769231,209,0.256894049,0,0.69,drizzle,drizzle,2012,4,28,0,5,1,Spring,SW,1,6
29-04-2012,0.526229508,0.142857143,0.131868132,160,0.515239478,0.076923077,0.34,rain,rain,2012,4,29,0,6,1,Spring,S,1,4
30-04-2012,0.452459016,0.224489796,0.835164835,15,0.404934688,0.076923077,0.21,rain,rain,2012,4,30,0,0,0,Spring,N,1,1
01-05-2012,0.416393443,0.673469388,0.659340659,107,0.730043541,0.008944544,0.64,rain,rain,2012,5,1,0,1,0,Spring,E,1,0
02-05-2012,0.43442623,0.653061224,0.230769231,310,0.528301887,0.008944544,0.83,rain,rain,2012,5,2,0,2,0,Spring,NW,1,3
03-05-2012,0.424590164,0.959183673,0.32967033,226,0.552975327,0.330948122,0.21,rain,rain,2012,5,3,0,3,0,Spring,SW,1,6
04-05-2012,0.424590164,0.448979592,0.461538462,169,0.557329463,0.032200358,0.1,rain,sun,2012,5,4,0,4,0,Spring,S,1,4
05-05-2012,0.424590164,0.469387755,0.208791209,33,0.316400581,0,0.76,sun,sun,2012,5,5,0,5,1,Spring,NE,1,2
06-05-2012,0.498360656,0.734693878,0.21978022,250,0.773584906,0,0.02,sun,sun,2012,5,6,0,6,1,Spring,W,1,7
07-05-2012,0.616393443,0.693877551,0.197802198,246,0.256894049,0,0.08,sun,sun,2012,5,7,0,0,0,Spring,SW,1,6
08-05-2012,0.578688525,0.87755102,0.285714286,268,0.608127721,0,0.59,sun,sun,2012,5,8,0,1,0,Spring,W,1,7
09-05-2012,0.452459016,0.795918367,0.384615385,140,0.582002903,0,0.75,rain,rain,2012,5,9,0,2,0,Spring,SE,1,5
10-05-2012,0.424590164,0.428571429,0.285714286,273,0.422351234,0,0.86,sun,sun,2012,5,10,0,3,0,Spring,W,1,7
11-05-2012,0.496721311,0.530612245,0.428571429,95,0.589259797,0,0.13,sun,sun,2012,5,11,0,4,0,Spring,E,1,0
12-05-2012,0.63442623,0.693877551,0.32967033,226,0.445573295,0,0.96,sun,sun,2012,5,12,0,5,1,Spring,SW,1,6
13-05-2012,0.698360656,0,0.417582418,38,0.393323657,0,0.17,sun,sun,2012,5,13,0,6,1,Spring,NE,1,2
14-05-2012,0.772131148,0.693877551,0.373626374,301,0.560232221,0,0.72,sun,sun,2012,5,14,0,0,0,Spring,NW,1,3
15-05-2012,0.678688525,0.734693878,0.406593407,28,0.345428157,0,0.22,drizzle,drizzle,2012,5,15,0,1,0,Spring,NE,1,2
16-05-2012,0.596721311,0.93877551,0.340659341,317,0.460087083,0,0.73,sun,sun,2012,5,16,0,2,0,Spring,NW,1,3
17-05-2012,0.526229508,0.265306122,0.274725275,244,0.406386067,0,0.82,rain,rain,2012,5,17,0,3,0,Spring,SW,1,6
18-05-2012,0.508196721,0.040816327,0.296703297,235,0.442670537,0,0.46,rain,rain,2012,5,18,0,4,0,Spring,SW,1,6
19-05-2012,0.560655738,0,0.120879121,184,0.554426705,0,0.68,sun,sun,2012,5,19,0,5,1,Spring,S,1,4
20-05-2012,0.552459016,0.081632653,0.098901099,271,0.406386067,0.114490161,0.46,rain,rain,2012,5,20,0,6,1,Spring,W,1,7
21-05-2012,0.562295082,0.510204082,0.395604396,235,0.464441219,0.250447227,0.86,rain,rain,2012,5,21,0,0,0,Spring,SW,1,6
22-05-2012,0.480327869,0.265306122,0.483516484,238,0.419448476,0.109123435,0.29,rain,rain,2012,5,22,0,1,0,Spring,SW,1,6
23-05-2012,0.506557377,0.775510204,0.648351648,265,0.701015965,0.005366726,0.24,rain,rain,2012,5,23,0,2,0,Spring,W,1,7
24-05-2012,0.552459016,0.530612245,0.318681319,358,0.541364296,0,0.27,rain,rain,2012,5,24,0,3,0,Spring,N,1,1
25-05-2012,0.63442623,0.163265306,0.296703297,339,0.52394775,0,0.97,rain,rain,2012,5,25,0,4,0,Spring,N,1,1
26-05-2012,0.63442623,0.285714286,0.351648352,64,0.590711176,0,0.24,sun,sun,2012,5,26,0,5,1,Spring,NE,1,2
27-05-2012,0.598360656,0.285714286,0.362637363,176,0.406386067,0,0.73,sun,sun,2012,5,27,0,6,1,Spring,S,1,4
28-05-2012,0.562295082,0.510204082,0.32967033,2,0.616835994,0,0.77,rain,rain,2012,5,28,0,0,0,Spring,N,1,1
29-05-2012,0.516393443,0.836734694,0.153846154,141,0.542815675,0,0.57,sun,sun,2012,5,29,0,1,0,Spring,SE,1,5
30-05-2012,0.616393443,0.244897959,0.120879121,157,0.265602322,0.005366726,0.93,rain,rain,2012,5,30,0,2,0,Spring,SE,1,5
31-05-2012,0.616393443,0.632653061,0.252747253,323,0.284470247,0.067978533,0.4,rain,rain,2012,5,31,0,3,0,Spring,NW,1,3
01-06-2012,0.662295082,0.775510204,0.362637363,145,0.409288824,0.118067979,0.24,rain,rain,2012,6,1,0,4,0,Summer,SE,2,5
02-06-2012,0.608196721,0.979591837,0.362637363,292,0.300435414,0.005366726,0.77,rain,rain,2012,6,2,0,5,1,Summer,W,2,7
03-06-2012,0.560655738,0.632653061,0.274725275,152,0.457184325,0,0.98,sun,sun,2012,6,3,0,6,1,Summer,SE,2,5
04-06-2012,0.480327869,0.06122449,0.296703297,192,0.345428157,0.023255814,0.47,rain,rain,2012,6,4,0,0,0,Summer,S,2,4
05-06-2012,0.478688525,0.591836735,0.318681319,72,0.477503628,0.286225403,0.97,rain,rain,2012,6,5,0,1,0,Summer,E,2,0
06-06-2012,0.48852459,0.734693878,0.32967033,304,0.696661829,0,0.09,sun,sun,2012,6,6,0,2,0,Summer,NW,2,3
07-06-2012,0.53442623,0.448979592,0.340659341,343,0.484760522,0.295169946,0.98,rain,drizzle,2012,6,7,0,3,0,Summer,N,2,1
08-06-2012,0.506557377,0.775510204,0.285714286,139,0.448476052,0.026833631,0.74,rain,rain,2012,6,8,0,4,0,Summer,SE,2,5
09-06-2012,0.542622951,0.897959184,0.472527473,186,0.54862119,0,0.1,rain,rain,2012,6,9,0,5,1,Summer,S,2,4
10-06-2012,0.598360656,0.285714286,0.274725275,292,0.3904209,0,0.84,sun,sun,2012,6,10,0,6,1,Summer,W,2,7
11-06-2012,0.670491803,0.857142857,0.153846154,60,0.613933237,0,0.2,rain,rain,2012,6,11,0,0,0,Summer,NE,2,2
12-06-2012,0.63442623,0.571428571,0.384615385,197,0.564586357,0.01431127,0.85,rain,rain,2012,6,12,0,1,0,Summer,S,2,4
13-06-2012,0.570491803,0.714285714,0.428571429,294,0.497822932,0,0.44,sun,sun,2012,6,13,0,2,0,Summer,NW,2,3
14-06-2012,0.570491803,0.244897959,0.252747253,318,0.513788099,0,0.06,sun,sun,2012,6,14,0,3,0,Summer,NW,2,3
15-06-2012,0.642622951,0.632653061,0.142857143,301,0.788098694,0,0.8,sun,sun,2012,6,15,0,4,0,Summer,NW,2,3
16-06-2012,0.716393443,0.12244898,0.406593407,343,0.628447025,0,0.63,rain,rain,2012,6,16,0,5,1,Summer,N,2,1
17-06-2012,0.626229508,0.428571429,0.659340659,10,0.811320755,0,0.63,sun,sun,2012,6,17,0,6,1,Summer,N,2,1
18-06-2012,0.570491803,0.551020408,0.373626374,61,0.568940493,0.053667263,0.01,rain,rain,2012,6,18,0,0,0,Summer,NE,2,2
19-06-2012,0.606557377,0.020408163,0.285714286,332,0.278664731,0.017889088,0.75,rain,rain,2012,6,19,0,1,0,Summer,NW,2,3
20-06-2012,0.68852459,0.836734694,0.285714286,225,0.454281567,0,0.41,sun,sun,2012,6,20,0,2,0,Summer,SW,2,6
21-06-2012,0.708196721,0.897959184,0.186813187,152,0.245283019,0,0.81,sun,snow,2012,6,21,0,3,0,Summer,SE,2,5
22-06-2012,0.544262295,0.102040816,0.164835165,198,0.568940493,0.280858676,0.53,rain,rain,2012,6,22,0,4,0,Summer,S,2,4
23-06-2012,0.53442623,0.551020408,0.230769231,51,0.600870827,0.153846154,0.74,rain,rain,2012,6,23,0,5,1,Summer,NE,2,2
24-06-2012,0.596721311,0.551020408,0.175824176,259,0.362844702,0,0.15,drizzle,drizzle,2012,6,24,0,6,1,Summer,W,2,7
25-06-2012,0.624590164,0.87755102,0.296703297,58,0.396226415,0.008944544,0.17,rain,rain,2012,6,25,0,0,0,Summer,NE,2,2
26-06-2012,0.598360656,0.87755102,0.32967033,71,0.513788099,0,0.98,rain,rain,2012,6,26,0,1,0,Summer,E,2,0
27-06-2012,0.644262295,0.387755102,0.153846154,147,0.317851959,0,0.58,sun,sun,2012,6,27,0,2,0,Summer,SE,2,5
28-06-2012,0.680327869,0.591836735,0.230769231,348,0.307692308,0,0.89,rain,rain,2012,6,28,0,3,0,Summer,N,2,1
29-06-2012,0.726229508,0.204081633,0.164835165,62,0.671988389,0.005366726,0.15,rain,sun,2012,6,29,0,4,0,Summer,NE,2,2
30-06-2012,0.670491803,0.551020408,0.21978022,309,0.507982583,0.053667263,0.05,rain,rain,2012,6,30,0,5,1,Summer,NW,2,3
01-07-2012,0.652459016,0.489795918,0.208791209,242,0.410740203,0,0.56,rain,rain,2012,7,1,0,6,1,Summer,SW,2,6
02-07-2012,0.626229508,0.775510204,0.186813187,329,0.246734398,0.035778175,0.46,rain,rain,2012,7,2,0,0,0,Summer,NW,2,3
03-07-2012,0.598360656,0.653061224,0.615384615,106,0.615384615,0.103756708,0.47,rain,rain,2012,7,3,0,1,0,Summer,E,2,0
04-07-2012,0.616393443,0,0.373626374,225,0.393323657,0,0.41,sun,sun,2012,7,4,0,2,0,Summer,SW,2,6
05-07-2012,0.698360656,0.530612245,0.296703297,312,0.761973875,0,0.75,drizzle,drizzle,2012,7,5,0,3,0,Summer,NW,2,3
06-07-2012,0.716393443,0.244897959,0.186813187,217,0.616835994,0,0.59,sun,sun,2012,7,6,0,4,0,Summer,SW,2,6
07-07-2012,0.772131148,0.816326531,0.373626374,240,0.374455733,0,0.76,sun,sun,2012,7,7,0,5,1,Summer,SW,2,6
08-07-2012,0.824590164,0.040816327,0.263736264,258,0.387518142,0,0.03,rain,rain,2012,7,8,0,6,1,Summer,W,2,7
09-07-2012,0.744262295,0.775510204,0.175824176,261,0.741654572,0.026833631,0.01,rain,rain,2012,7,9,0,0,0,Summer,W,2,7
10-07-2012,0.698360656,0.102040816,0.208791209,4,0.480406386,0,0.89,drizzle,drizzle,2012,7,10,0,1,0,Summer,N,2,1
11-07-2012,0.798360656,0.142857143,0.274725275,260,0.417997097,0,0.58,fog,fog,2012,7,11,0,2,0,Summer,W,2,7
12-07-2012,0.762295082,0.530612245,0.252747253,53,0.496371553,0,0.26,drizzle,drizzle,2012,7,12,0,3,0,Summer,NE,2,2
